                                                                                                                                                                                                                                                  
03477010Rua Refinaria Mataripe                                                                                                                                Vila Antonieta                          São Paulo                              SP11
05528010Rua Manuel Dias de Oliveira                                                                                                                           Jardim Alvorada (Zona Oeste)            São Paulo                              SP11
